nationality_id,iso_alpha3,nationality_name,faculty_code,faculty_name,student_count,param_year,param_semester,source_file
MM,MMR,เมียนมา (Myanmar),27,วิจัยวิทยาศาสตร์สุขภาพ,11.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
CN,CHN,จีน (Chinese),19,รัฐศาสตร์และรัฐประศาสนศาสตร์,11.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),10,เภสัชศาสตร์,11.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
MM,MMR,เมียนมา (Myanmar),12,พยาบาลศาสตร์,10.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
MM,MMR,เมียนมา (Myanmar),28,พหุวิทยาการและสหวิทยาการ,10.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
MM,MMR,เมียนมา (Myanmar),03,วิจิตรศิลป์,9.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
CN,CHN,จีน (Chinese),15,บริหารธุรกิจ,9.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),02,ศึกษาศาสตร์,9.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
ID,IDN,อินโดนีเซีย (Indonesian),13,อุตสาหกรรมเกษตร,8.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
PK,PAK,ปากีสถาน (Pakistani),05,วิทยาศาสตร์,6.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
MM,MMR,เมียนมา (Myanmar),07,แพทยศาสตร์,6.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
ID,IDN,อินโดนีเซีย (Indonesian),04,สังคมศาสตร์,5.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
JP,JPN,ญี่ปุ่น (Japanese),04,สังคมศาสตร์,5.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-JP_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c49f0e7d.json
PK,PAK,ปากีสถาน (Pakistani),27,วิจัยวิทยาศาสตร์สุขภาพ,5.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
MM,MMR,เมียนมา (Myanmar),19,รัฐศาสตร์และรัฐประศาสนศาสตร์,5.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
JP,JPN,ญี่ปุ่น (Japanese),17,สถาปัตยกรรมศาสตร์,5.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-JP_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c49f0e7d.json
VN,VNM,เวียดนาม (Vietnamese),08,เกษตรศาสตร์,5.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
VN,VNM,เวียดนาม (Vietnamese),04,สังคมศาสตร์,5.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
US,USA,สหรัฐอเมริกา (American),06,วิศวกรรมศาสตร์,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-US_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__0fa8e48d.json
US,USA,สหรัฐอเมริกา (American),01,มนุษยศาสตร์,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-US_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__0fa8e48d.json
US,USA,สหรัฐอเมริกา (American),12,พยาบาลศาสตร์,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-US_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__0fa8e48d.json
NP,NPL,เนปาล (Nepalese),13,อุตสาหกรรมเกษตร,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-NP_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__06b192ce.json
US,USA,สหรัฐอเมริกา (American),21,ศิลปะ สื่อ และเทคโนโลยี,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-US_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__0fa8e48d.json
PK,PAK,ปากีสถาน (Pakistani),12,พยาบาลศาสตร์,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
BD,BGD,บังกลาเทศ (Bangladeshi),08,เกษตรศาสตร์,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-BD_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a0836a68.json
CN,CHN,จีน (Chinese),27,วิจัยวิทยาศาสตร์สุขภาพ,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),25,นโยบายสาธารณะ,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
US,USA,สหรัฐอเมริกา (American),05,วิทยาศาสตร์,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-US_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__0fa8e48d.json
ID,IDN,อินโดนีเซีย (Indonesian),06,วิศวกรรมศาสตร์,4.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
ID,IDN,อินโดนีเซีย (Indonesian),05,วิทยาศาสตร์,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
CN,CHN,จีน (Chinese),14,สัตวแพทยศาสตร์,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
NP,NPL,เนปาล (Nepalese),04,สังคมศาสตร์,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-NP_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__06b192ce.json
ID,IDN,อินโดนีเซีย (Indonesian),07,แพทยศาสตร์,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
IN,IND,อินเดีย (Indian),25,นโยบายสาธารณะ,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
IN,IND,อินเดีย (Indian),21,ศิลปะ สื่อ และเทคโนโลยี,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
LA,LAO,ลาว (Lao),13,อุตสาหกรรมเกษตร,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-LA_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5921e99d.json
PH,PHL,ฟิลิปปินส์ (Filipino),14,สัตวแพทยศาสตร์,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
PH,PHL,ฟิลิปปินส์ (Filipino),25,นโยบายสาธารณะ,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
VN,VNM,เวียดนาม (Vietnamese),17,สถาปัตยกรรมศาสตร์,3.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
MM,MMR,เมียนมา (Myanmar),09,ทันตแพทยศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
VN,VNM,เวียดนาม (Vietnamese),22,สาธารณสุขศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
PK,PAK,ปากีสถาน (Pakistani),13,อุตสาหกรรมเกษตร,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
MM,MMR,เมียนมา (Myanmar),26,วิศวกรรมชีวการแพทย์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
NP,NPL,เนปาล (Nepalese),17,สถาปัตยกรรมศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-NP_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__06b192ce.json
PH,PHL,ฟิลิปปินส์ (Filipino),01,มนุษยศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
PH,PHL,ฟิลิปปินส์ (Filipino),08,เกษตรศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
PH,PHL,ฟิลิปปินส์ (Filipino),12,พยาบาลศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
PH,PHL,ฟิลิปปินส์ (Filipino),13,อุตสาหกรรมเกษตร,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
MM,MMR,เมียนมา (Myanmar),08,เกษตรศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
PK,PAK,ปากีสถาน (Pakistani),10,เภสัชศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
PK,PAK,ปากีสถาน (Pakistani),11,เทคนิคการแพทย์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
