admission_scope,admit_year,faculty_code,faculty_name,issued_male,issued_female,issued_total,waived_male,waived_female,waived_total,remaining_male,remaining_female,remaining_total,waive_rate,yield_rate,source_file
all,2567,,สถาบันนโยบายสาธารณะ,22.0,28.0,50.0,8.0,10.0,18.0,14.0,18.0,32.0,0.36,0.64,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,10.0,11.0,21.0,2.0,2.0,4.0,8.0,9.0,17.0,0.19047619047619047,0.8095238095238095,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,สถาบันวิศวกรรมชีวการแพทย์,6.0,6.0,12.0,0.0,0.0,0.0,6.0,6.0,12.0,0.0,1.0,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,วิทยาลัยการศึกษาและการจัดการทางทะเล,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2569,,คณะมนุษยศาสตร์,263.0,542.0,805.0,0.0,1.0,1.0,263.0,541.0,804.0,0.0012422360248447205,0.9987577639751553,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะวิศวกรรมศาสตร์,526.0,265.0,791.0,0.0,0.0,0.0,526.0,265.0,791.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะวิทยาศาสตร์,279.0,388.0,667.0,0.0,0.0,0.0,279.0,388.0,667.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะเกษตรศาสตร์,202.0,366.0,568.0,0.0,0.0,0.0,202.0,366.0,568.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะบริหารธุรกิจ,167.0,335.0,502.0,0.0,0.0,0.0,167.0,335.0,502.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะศึกษาศาสตร์,159.0,266.0,425.0,0.0,0.0,0.0,159.0,266.0,425.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะอุตสาหกรรมเกษตร,101.0,296.0,397.0,0.0,0.0,0.0,101.0,296.0,397.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะวิจิตรศิลป์,110.0,210.0,320.0,0.0,0.0,0.0,110.0,210.0,320.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะนิติศาสตร์,91.0,203.0,294.0,0.0,0.0,0.0,91.0,203.0,294.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะเศรษฐศาสตร์,131.0,161.0,292.0,0.0,0.0,0.0,131.0,161.0,292.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,165.0,121.0,286.0,0.0,0.0,0.0,165.0,121.0,286.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะการสื่อสารมวลชน,90.0,162.0,252.0,0.0,0.0,0.0,90.0,162.0,252.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
